refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,VSNTpre_VSNTpost
1,0.0,0,23471,0.40234375,0.13671875,2.0,1.0,1,2,2,588.577453613281,268.198089599609,0,1,objects,small,0,1,objects,A,big,VS,O,12,E01,46.392578125,0
0,0.0,0,23472,0.59765625,0.18359375,3.0,1.0,5,21,3,741.086242675781,326.008636474609,0,1,objects,big,0,1,objects,A,big,VS,O,12,E01,46.392578125,0
0,0.0,0,23474,1.03515625,0.189453125,5.0,0.0,6,24,5,722.57080078125,620.115417480469,0,1,faces,female,0,1,objects,A,big,VS,O,12,E01,46.392578125,0
0,0.0,0,23476,1.423828125,0.134765625,6.0,0.0,11,43,7,943.157775878906,730.622253417969,0,1,objects,big,0,1,objects,A,big,VS,O,12,E01,46.392578125,0
0,0.0,0,23477,1.623046875,0.16015625,7.0,0.0,7,26,8,760.855102539062,871.856140136719,0,1,faces,male,0,1,objects,A,big,VS,O,12,E01,46.392578125,0
0,0.0,0,23478,1.8203125,0.126953125,8.0,0.0,8,27,9,738.116943359375,945.897766113281,0,1,faces,male,0,1,objects,A,big,VS,O,12,E01,46.392578125,0
1,0.0,0,23480,2.16015625,0.1640625,9.0,0.0,3,5,11,532.274963378906,549.734741210938,0,1,objects,big,0,1,objects,A,big,VS,O,12,E01,46.392578125,0
0,0.0,0,23482,2.560546875,0.20703125,10.0,0.0,13,49,13,1038.00622558594,438.267791748047,0,1,faces,male,0,1,objects,A,big,VS,O,12,E01,46.392578125,0
0,0.0,0,23484,3.052734375,0.20703125,12.0,0.0,14,64,15,1253.61547851562,174.698928833008,0,1,faces,male,0,1,objects,A,big,VS,O,12,E01,46.392578125,0
0,1.0,0,23501,0.494140625,0.23828125,2.0,1.0,7,36,2,836.276062011719,914.621887207031,0,1,faces,female,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
0,1.0,0,23502,0.791015625,0.21875,3.0,1.0,10,45,3,975.994323730469,924.290161132812,0,1,faces,male,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
0,1.0,0,23504,1.1640625,0.232421875,4.0,1.0,14,70,5,1257.38354492188,733.79736328125,0,1,faces,male,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
0,1.0,1,23505,1.470703125,0.125,5.0,0.0,9,41,6,991.379638671875,574.542663574219,0,1,faces,male,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
